time, id1, id2, amount, message
2016-11-02 09:49:29, 1, 2, 25.32, Spam 
2016-11-02 09:49:29, 1, 3, 19.45, Food for
2016-11-02 09:49:29, 2, 4, 25.32, Spam 
2016-11-02 09:49:29, 3, 5, 19.45, Food for 🌽 😎 
2016-11-02 09:49:29, 4, 5, 14.99, Clothing 
2016-11-02 09:49:29, 4, 7, 33.48, LoveWins 
2016-11-02 09:49:29, 5, 6, 33.48, LoveWins
2016-11-02 09:49:29, 6, 9, 33.48, LoveWins
2016-11-02 09:49:29, 7, 8, 33.48, LoveWins
2016-11-02 09:49:29, 7, 10, 33.48, LoveWins
2016-11-02 09:49:29, 8, 9, 25.32, Spam 
2016-11-02 09:49:29, 9, 12, 19.45, Food for
2016-11-02 09:49:29, 10, 13, 25.32, Spam 
2016-11-02 09:49:29, 11, 12, 19.45, Food for 🌽 😎 
2016-11-02 09:49:29, 11, 14, 14.99, Clothing
2016-11-02 09:49:29, 12, 15, 25.32, Spam 
